name,ring,quadrant,isNew,description
Code splitting,Adopt,Techniques,false,"Code splitting is the splitting of code into various bundles or components which can then be loaded on demand or in parallel. As an application grows in complexity or is maintained, CSS and JavaScript files or bundles grow in byte size, especially as the number and size of included third-party libraries increases."
Grunt,Hold,Tools,false,A build tool from the dark ages.
Gulp,Hold,Tools,false,"Leverage Gulp and the flexibility of JavaScript to automate slow, repetitive workflows and compose them into efficient build pipelines."
Lerna,Adopt,Tools,false,A tool for managing JavaScript projects with multiple npm packages.
Nx,Trial,Tools,false,Next generation build system with first class monorepo support and powerful integrations.
TSDX,Trial,Tools,false,Zero-config CLI for TypeScript package development.
Tree Shaking,Adopt,Techniques,false,"Tree shaking is a term commonly used in the JavaScript context for dead-code elimination. It relies on the static structure of ES2015 module syntax, i.e. import and export. The name and concept have been popularized by the ES2015 module bundler rollup."
TurboRepo,Adopt,Tools,false,Turborepo is a high-performance build system for JavaScript and TypeScript codebases.
Vite,Trial,Tools,false,"Vite (French word for &quot;quick&quot;, pronounced /vit/, like &quot;veet&quot;) is a new breed of frontend build tool that significantly improves the frontend development experience."
Webpack,Adopt,Tools,false,"The coordinator behind transpilation, minification and obfuscation. Client-side bundles CRA2 where possible, server-side bundles custom webpack configuration."
Yarn,Hold,Tools,false,"Yarn is a package manager that doubles down as project manager. Whether you work on one-shot projects or large monorepos, as a hobbyist or an enterprise user, we&apos;ve got you covered. Note that npm/yarn move in same pace - choose npm if possible, use yarn otherwise."
npm,Adopt,Tools,false,"npm is the package manager for the Node JavaScript platform. It puts modules in place so that node can find them, and manages dependency conflicts intelligently. It is extremely configurable to support a wide variety of use cases. Most commonly, it is used to publish, discover, install, and develop node programs."
CSharp,Adopt,Languages and Frameworks,false,"C# is a general-purpose, multi-paradigm programming language. C# encompasses static typing, strong typing, lexically scoped, imperative, declarative, functional, generic, object-oriented (class-based), and component-oriented programming disciplines."
ESLint,Hold,Tools,false,Find and fix problems in your JavaScript and TypeScript code.
PHPLint,Adopt,Tools,false,<code>phplint</code> is a tool that can speed up linting of php files by running several lint processes at once.
Sonarcloud,Adopt,Tools,false,"SonarCloud helps you assess your code health and build applications with clean, safe code. Get fast and precise feedback in the cloud."
Ag Grid,Adopt,Languages and Frameworks,false,"AG Grid is a fully-featured and highly customizable JavaScript data grid. It delivers outstanding performance, has no 3rd party dependencies and integrates smoothly with React as React Component."
Bootstrap,Hold,Languages and Frameworks,false,"Bootstrap is a popular CSS Framework for developing responsive and mobile-first websites. Bootstrap 5 is the newest version of Bootstrap. Still the number 1 library for web UI&apos;s, especially useful for administrative screens."
Fluent UI,Adopt,Languages and Frameworks,false,"Fluent UI is a collection of UX frameworks for creating beautiful, cross-platform apps that share code, design, and interaction behavior. It is created by Microsoft and used in all Microsoft tooling like Teams, PowerApps, Office tools."
Formik,Hold,Languages and Frameworks,false,"React form builder, prefer react-hook-form or react-json-schema-form over Formik."
Ionic framework,Assess,Languages and Frameworks,false,"Mobile app framework where developer can choose between React, Angular and Vue.js implementations."
Material UI,Adopt,Languages and Frameworks,false,React UI framework (MUI) with standard set of components.
React forms,Adopt,Languages and Frameworks,false,"Performant, flexible and extensible forms with easy-to-use validation using React Hooks."
React JSON Schema Form,Adopt,Languages and Frameworks,false,A React component capable of using JSON Schema to declaratively build and customize web forms.
Content as a service,Adopt,Techniques,false,"JSS, Netlify-CMS, BLS..."
Create React App,Adopt,Tools,false,React project scaffolder. Set up a modern web app by running one command.
D3.js,Adopt,Languages and Frameworks,false,The library for advanced data visualization and animation.
DOTNET Core 6,Adopt,Platforms,false,..excerpt also used in technology radar...
Day.js,Adopt,Languages and Frameworks,false,The library to use as minimal replacement for Moments.js.
Moment.js,Hold,Languages and Frameworks,false,The date/time formatting library of the past. Refactor this library out of your code-base when possible.
date-fns,Adopt,Languages and Frameworks,false,The library to use for I18n internationalization date/time formatting.
Deno,Assess,Tools,false,"JavaScript/TypeScript runtime built in Rust, secure, supports TypeScript out of the box"
Dev containers,Adopt,Techniques,false,Developing inside a container to ensure an equal development environment for all developers.
DDEV,Adopt,Tools,false,DDEV is an open source tool that makes it dead simple to get local PHP development environments up and running within minutes by utilizing Docker containers.
VSCode Dev Containers,Adopt,Tools,false,Use VSCode together with a Docker container as a full-featured development environment.
Docker containers,Adopt,Platforms,false,"For unit of deployment, linux, Azure Web Apps / kubernetes"
ESNext,Adopt,Languages and Frameworks,false,The new version of JavaScript with way more powerful language constructs.
ElasticSearch,Adopt,Platforms,false,"Elasticsearch is a distributed, free and open search and analytics engine for all types of data, including textual, numerical, geospatial, structured, and unstructured. Cloud based version available on Azure. Dutch company."
Full Stack devs,Adopt,Techniques,false,Don&apos;t be scared of install complete platform and edit Razor views
Gatsby,Hold,Tools,false,"Gatsby is an open-source framework that combines functionality from React, GraphQL and Webpack into a single tool for building static websites and apps"
Git,Adopt,Tools,false,Git is a free and open source distributed version control system designed to handle everything from small to very large projects with speed and efficiency.
Google Analytics,Adopt,Platforms,false,"Google Analytics lets you measure your advertising ROI as well as track your Flash, video, and social networking sites and applications."
Google Tag Manager,Adopt,Platforms,false,Google Tag Manager is a tag management system (TMS) that allows you to quickly and easily update measurement codes and related code fragments collectively known as tags on your website or mobile app.
HTML5,Adopt,Languages and Frameworks,false,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
HTTP2,Adopt,Techniques,false,Loading multiple small bundles at high speed
Image optimization as a service,Adopt,Techniques,false,"Use image services like Kraken, Cloudinary or ContentHub to optimize images, and act as a CDN for images."
Internationalization,Adopt,Techniques,false,FormatJS (react-intl)
JAMStack,Adopt,Techniques,false,"JAMStack is the new standard for web architecture, CDN, Microservices."
JavaScript 5,Hold,Languages and Frameworks,false,JavaScript 5 is the &quot;old&quot; version of JavaScript as currently supported by browsers (mostly JavaScript 5).
Jest,Adopt,Languages and Frameworks,false,Testing library to describe your test.
KeystoneJS,Assess,Platforms,false,"Keystone helps you build faster and scale further than any other CMS or App Framework. Just describe your schema, and get a powerful GraphQL API &amp; beautiful Management UI for content and data."
Next.js,Adopt,Languages and Frameworks,false,"Next.js gives you the best developer experience with all the features you need for production: hybrid static &amp; server rendering, TypeScript support, smart bundling, route pre-fetching, and more. No config needed."
Node.js,Adopt,Languages and Frameworks,false,"Node.js is a single-threaded, open-source, cross-platform runtime environment for building fast and scalable server-side and networking applications. It runs on the V8 JavaScript runtime engine, and it uses event-driven, non-blocking I/O architecture, which makes it efficient and suitable for real-time applications."
OAuth 2.0,Adopt,Techniques,false,"OAuth 2.0, which stands for &#x201C;Open Authorization&#x201D;, is a standard designed to allow a website or application to access resources hosted by other web apps on behalf of a user."
PHP,Hold,Platforms,false,"PHP is a popular general-purpose scripting language that is especially suited to web development.
Fast, flexible and pragmatic, PHP powers everything from your blog to the most popular websites in the world."
PWA,Adopt,Techniques,false,"Progressive Web Apps help developers provide native-app qualities in web applications that are reliable, fast, and engaging."
Production First and CICD,Adopt,Techniques,false,Azure DevOps - pipelines
React Testing Library,Adopt,Languages and Frameworks,false,A set of helpers that let you test React components without relying on their implementation details.
React-router,Adopt,Languages and Frameworks,false,"React Router is a fully-featured client and server-side routing library for React, a JavaScript library for building user interfaces."
React,Adopt,Languages and Frameworks,false,React is a JavaScript library for building user interfaces. It&apos;s our choice as view library for building websites and web applications.
Remix,Assess,Languages and Frameworks,false,"Remix is a full stack web framework that lets you focus on the user interface and work back through web fundamentals to deliver a fast, slick, and resilient user experience."
SEO,Adopt,Techniques,false,"Technical SEO - Schema.org, JSON-LD, OpenGraph, ..."
SVG,Adopt,Languages and Frameworks,false,Scalable Vector Graphics - the solution for resolution independent graphics.
Serverless,Adopt,Techniques,false,"Serverless computing: Azure Functions, Netlify Functions"
Service workers,Adopt,Techniques,false,"event-driven scripts that run independently of web pages (fe. push notifications), programmable network proxy."
Sitecore,Adopt,Platforms,false,"Sitecore as a company is a strategic partner for Macaw. When talking about Sitecore, Macaw is talking mostly about the CMS.The relevant part of the Sitecore CMS for DX is Sitecore XM."
Sitecore Experience Edge,Adopt,Platforms,false,"Headless content delivery, available with Content Hub or Sitecore XM (Cloud)."
Sitecore JSS,Adopt,Platforms,false,To use Sitecore as a headless platform. Use the Sitecore JavaScript Rendering SDK in combination with Next.js.
Sitecore SXA,Hold,Platforms,false,This was the prefered platform for out of the box Sitecore implementations.
Solr,Hold,Platforms,false,"Solr is the popular, blazing-fast, open source enterprise search platform built on Apache Lucene."
Stencil.js,Hold,Languages and Frameworks,true,"Stencil.js is a web component compiler that allows developers to create reusable, composable components for the web using modern web standards such as TypeScript, JSX, and CSS Variables."
Storybook,Adopt,Tools,false,Show your components in isolation and out of context.
CSS,Adopt,Languages and Frameworks,false,"Cascading Style Sheets (CSS) is a simple mechanism for adding style (e.g., fonts, colors, spacing) to Web documents."
LESS,Hold,Languages and Frameworks,false,"It&apos;s CSS, with just a little more. Favor SASS over LESS."
PostCSS,Adopt,Tools,false,"Transform CSS with the power of JavaScript. Auto-prefixing, future CSS syntaxes, modules, linting and more are possible with hundreds of PostCSS plugins."
Radix-UI,Adopt,Languages and Frameworks,true,Radix UI: A low-level UI primitive toolkit for building accessible design systems without sacrificing style.
SASS,Adopt,Languages and Frameworks,false,"SASS stands for Syntactically Awesome Style Sheets. SASS is a CSS extension language, and is completely compatible with all versions of CSS."
TailwindCSS,Trial,Languages and Frameworks,false,"A utility-first CSS framework packed with classes like flex, pt-4, text-center and rotate-90 that can be composed to build any design, directly in your markup."
Vanilla Extract,Adopt,Languages and Frameworks,true,"Vanilla Extract: A type-safe CSS-in-JS solution offering themes, variables, and styles through TypeScript."
TYPO3,Hold,Platforms,false,TYPO3 CMS is an Open Source Enterprise Content Management System in the PHP eco-system.
Terminal,Adopt,Tools,false,"Commandline tooling, CLI&apos;s"
TypeScript,Adopt,Languages and Frameworks,false,"TypeScript is JavaScript with syntax for types. TypeScript is a strongly typed programming language that builds on JavaScript, giving you better tooling at any scale."
UI Testing,Trial,Techniques,false,In UI Testing an automated end-to-end testing framework is used to validate web applications across different browsers and platforms.
Adobe XD,Hold,Tools,false,Used to deliver designs.
Axure,Hold,Tools,false,Used to deliver wireframes and mockups. Mostly provided as a web based link to the developer.
Figma for developers,Adopt,Tools,false,Figma is a web-based graphics editing and user interface design app.
InVision for developers,Hold,Tools,false,"InVision is a prototyping tool created for designers, by designers. It allows you to quickly and easily create interactive mockups for your designs."
Sketch for developers,Hold,Tools,false,"Sketch is the all-in-one platform for digital design &#x2014; with collaborative design tools, prototyping and developer handoff."
Zeplin,Hold,Tools,false,Used to deliver Sketch or Adobe DX designs on the web. Mostly provided as a web based link to the developer.
Unit tests,Adopt,Techniques,false,Unit tests are typically automated tests written and run by software developers to ensure that a section of an application (known as the &quot;unit&quot;) meets its design and behaves as intended.
Visual Studio Code,Adopt,Tools,false,"Visual Studio Code is a free coding editor that helps you start coding quickly. Use it to code in any programming language, without switching editors."
VueJS,Hold,Languages and Frameworks,false,Progressive JavaScript Framework for building websites and web applications.
WSL for full-stack development,Adopt,Techniques,true,WSL for full-stack development: Leveraging the Windows Subsystem for Linux to facilitate full-stack development workflows on Windows.
A11Y and ARIA,Trial,Techniques,false,"Accessibility, Adobe React Aria"
Web Assembly,Trial,Techniques,false,"WebAssembly is a new type of code that can be run in modern web browsers &#x2014; it is a low-level assembly-like language with a compact binary format that runs with near-native performance and provides languages such as C/C++, C# and Rust with a compilation target so that they can run on the web. It is also designed to run alongside JavaScript, allowing both to work together."
Web Components,Adopt,Languages and Frameworks,false,"Already using it in projects, see StencilJS as framework. Great alternative way of working with components in Sitecore SXA"
Web workers,Trial,Techniques,false,"Run scripts in background threads independently of user-interface scripts, they can perform I/O using XMLHttpRequest."
Websockets,Trial,Techniques,false,Two way real-time communication between the user&apos;s browser and the server.
jQuery,Hold,Languages and Frameworks,false,"As we all know, jQuery was a necessity with browsers of the past. Don&apos;t start another project with jQuery, except when innevitable on for example commerce projects or projects with out-of-the-box components that are already written using jQuery."
React-Query,Adopt,Languages and Frameworks,false,"Performant and powerful data synchronization for React. Fetch, cache and update data in your React and React Native applications all without touching any &quot;global state&quot;."
Redux,Adopt,Languages and Frameworks,false,"Much the same as React, Redux is likewise a library which is generally used for front-end. It is a fundamental tool for overseeing both data state and UI-state in JavaScript applications."
XState,Trial,Languages and Frameworks,false,"JavaScript/TypeScript state machine, declarative description of application behavior."
